postcode,locality,state,parcelzone,bspname
3000,MELBOURNE,VIC,V1,MELBOURNE CITY
3001,MELBOURNE,VIC,V1,MELBOURNE CITY
3002,EAST MELBOURNE,VIC,V1,MELBOURNE CITY
3003,WEST MELBOURNE,VIC,V1,MELBOURNE CITY
3004,MELBOURNE,VIC,V1,MELBOURNE CITY
3005,SOUTH WHARF,VIC,V1,MOORABBIN
3006,SOUTHBANK,VIC,V1,MOORABBIN
3008,DOCKLANDS,VIC,V1,MELBOURNE CITY
3010,UNIVERSITY OF MELBOURNE,VIC,V1,MELBOURNE CITY
3011,FOOTSCRAY,VIC,V1,FOOTSCRAY
3011,SEDDON,VIC,V1,FOOTSCRAY
3011,SEDDON WEST,VIC,V1,FOOTSCRAY
3012,BROOKLYN,VIC,V1,FOOTSCRAY
3012,KINGSVILLE,VIC,V1,FOOTSCRAY
3012,MAIDSTONE,VIC,V1,FOOTSCRAY
3012,TOTTENHAM,VIC,V1,FOOTSCRAY
3012,WEST FOOTSCRAY,VIC,V1,FOOTSCRAY
3013,YARRAVILLE,VIC,V1,FOOTSCRAY
3015,NEWPORT,VIC,V1,FOOTSCRAY
3015,SOUTH KINGSVILLE,VIC,V1,FOOTSCRAY
3015,SPOTSWOOD,VIC,V1,FOOTSCRAY
3016,WILLIAMSTOWN,VIC,V1,FOOTSCRAY
3016,WILLIAMSTOWN NORTH,VIC,V1,FOOTSCRAY
3018,ALTONA,VIC,V1,FOOTSCRAY
3018,SEAHOLME,VIC,V1,FOOTSCRAY
3019,BRAYBROOK,VIC,V1,FOOTSCRAY
3019,ROBINSON,VIC,V1,FOOTSCRAY
3020,ALBION,VIC,V1,FOOTSCRAY
3020,SUNSHINE,VIC,V1,FOOTSCRAY
3020,SUNSHINE NORTH,VIC,V1,FOOTSCRAY
3020,SUNSHINE WEST,VIC,V1,FOOTSCRAY
3021,ALBANVALE,VIC,V1,HAWTHORN
3021,KEALBA,VIC,V1,HAWTHORN
3021,KINGS PARK,VIC,V1,HAWTHORN
3021,ST ALBANS,VIC,V1,HAWTHORN
3022,ARDEER,VIC,V1,FOOTSCRAY
3022,DEER PARK EAST,VIC,V1,FOOTSCRAY
3023,BURNSIDE,VIC,V1,FOOTSCRAY
3023,BURNSIDE HEIGHTS,VIC,V1,FOOTSCRAY
3023,CAIRNLEA,VIC,V1,FOOTSCRAY
3023,CAROLINE SPRINGS,VIC,V1,FOOTSCRAY
3023,DEER PARK,VIC,V1,FOOTSCRAY
3023,DEER PARK NORTH,VIC,V1,FOOTSCRAY
3023,RAVENHALL,VIC,V1,FOOTSCRAY
3024,MAMBOURIN,VIC,V1,MELB NORTH WEST
3024,MOUNT COTTRELL,VIC,V1,MELB NORTH WEST
3024,WYNDHAM VALE,VIC,V1,MELB NORTH WEST
3025,ALTONA EAST,VIC,V1,FOOTSCRAY
3025,ALTONA GATE,VIC,V1,FOOTSCRAY
3025,ALTONA NORTH,VIC,V1,FOOTSCRAY
3026,LAVERTON NORTH,VIC,V1,MELB NORTH WEST
3027,WILLIAMS LANDING,VIC,V1,MELB NORTH WEST
3028,ALTONA MEADOWS,VIC,V1,MELB NORTH WEST
3028,LAVERTON,VIC,V1,MELB NORTH WEST
3028,SEABROOK,VIC,V1,MELB NORTH WEST
3029,HOPPERS CROSSING,VIC,V1,MELB NORTH WEST
3029,TARNEIT,VIC,V1,MELB NORTH WEST
3029,TRUGANINA,VIC,V1,MELB NORTH WEST
3030,COCOROC,VIC,V1,MELB NORTH WEST
3030,DERRIMUT,VIC,V1,MELB NORTH WEST
3030,POINT COOK,VIC,V1,MELB NORTH WEST
3030,QUANDONG,VIC,V1,MELB NORTH WEST
3030,WERRIBEE,VIC,V1,MELB NORTH WEST
3030,WERRIBEE SOUTH,VIC,V1,MELB NORTH WEST
3031,FLEMINGTON,VIC,V1,FOOTSCRAY
3031,KENSINGTON,VIC,V1,FOOTSCRAY
3032,ASCOT VALE,VIC,V1,FOOTSCRAY
3032,HIGHPOINT CITY,VIC,V1,FOOTSCRAY
3032,MARIBYRNONG,VIC,V1,FOOTSCRAY
3032,TRAVANCORE,VIC,V1,FOOTSCRAY
3033,KEILOR EAST,VIC,V1,FOOTSCRAY
3034,AVONDALE HEIGHTS,VIC,V1,FOOTSCRAY
3036,KEILOR,VIC,V1,FOOTSCRAY
3036,KEILOR NORTH,VIC,V1,FOOTSCRAY
3037,CALDER PARK,VIC,V1,HAWTHORN
3037,DELAHEY,VIC,V1,HAWTHORN
3037,HILLSIDE,VIC,V1,HAWTHORN
3037,SYDENHAM,VIC,V1,HAWTHORN
3037,TAYLORS HILL,VIC,V1,HAWTHORN
3038,KEILOR DOWNS,VIC,V1,HAWTHORN
3038,KEILOR LODGE,VIC,V1,HAWTHORN
3038,TAYLORS LAKES,VIC,V1,HAWTHORN
3039,MOONEE PONDS,VIC,V1,FOOTSCRAY
3040,ABERFELDIE,VIC,V1,FOOTSCRAY
3040,ESSENDON,VIC,V1,FOOTSCRAY
3040,ESSENDON WEST,VIC,V1,FOOTSCRAY
3041,ESSENDON FIELDS,VIC,V1,FOOTSCRAY
3041,ESSENDON NORTH,VIC,V1,FOOTSCRAY
3041,STRATHMORE,VIC,V1,FOOTSCRAY
3041,STRATHMORE HEIGHTS,VIC,V1,FOOTSCRAY
3042,AIRPORT WEST,VIC,V1,FOOTSCRAY
3042,KEILOR PARK,VIC,V1,FOOTSCRAY
3042,NIDDRIE,VIC,V1,FOOTSCRAY
3043,GLADSTONE PARK,VIC,V1,FOOTSCRAY
3043,GOWANBRAE,VIC,V1,FOOTSCRAY
3043,TULLAMARINE,VIC,V1,FOOTSCRAY
3044,PASCOE VALE,VIC,V1,FOOTSCRAY
3044,PASCOE VALE SOUTH,VIC,V1,FOOTSCRAY
3045,MELBOURNE AIRPORT,VIC,V1,FOOTSCRAY
3046,GLENROY,VIC,V1,FOOTSCRAY
3046,HADFIELD,VIC,V1,FOOTSCRAY
3046,OAK PARK,VIC,V1,FOOTSCRAY
3047,BROADMEADOWS,VIC,V1,MELB NORTH WEST
3047,DALLAS,VIC,V1,MELB NORTH WEST
3047,JACANA,VIC,V1,MELB NORTH WEST
3048,COOLAROO,VIC,V1,MELB NORTH WEST
3048,MEADOW HEIGHTS,VIC,V1,MELB NORTH WEST
3049,ATTWOOD,VIC,V1,FOOTSCRAY
3049,WESTMEADOWS,VIC,V1,FOOTSCRAY
3050,ROYAL MELBOURNE HOSPITAL,VIC,V1,MELBOURNE CITY
3051,HOTHAM HILL,VIC,V1,MELBOURNE CITY
3051,NORTH MELBOURNE,VIC,V1,MELBOURNE CITY
3052,MELBOURNE UNIVERSITY,VIC,V1,MELBOURNE CITY
3052,PARKVILLE,VIC,V1,MELBOURNE CITY
3053,CARLTON,VIC,V1,MELBOURNE CITY
3053,CARLTON SOUTH,VIC,V1,MELBOURNE CITY
3054,CARLTON NORTH,VIC,V1,MELBOURNE CITY
3054,PRINCES HILL,VIC,V1,MELBOURNE CITY
3055,BRUNSWICK SOUTH,VIC,V1,PRESTON
3055,BRUNSWICK WEST,VIC,V1,PRESTON
3055,MOONEE VALE,VIC,V1,PRESTON
3055,MORELAND WEST,VIC,V1,PRESTON
3056,BRUNSWICK,VIC,V1,PRESTON
3056,BRUNSWICK LOWER,VIC,V1,PRESTON
3056,BRUNSWICK NORTH,VIC,V1,PRESTON
3057,BRUNSWICK EAST,VIC,V1,PRESTON
3057,SUMNER,VIC,V1,PRESTON
3058,BATMAN,VIC,V1,PRESTON
3058,COBURG,VIC,V1,PRESTON
3058,COBURG NORTH,VIC,V1,PRESTON
3058,MERLYNSTON,VIC,V1,PRESTON
3058,MORELAND,VIC,V1,PRESTON
3059,GREENVALE,VIC,V1,MELB NORTH WEST
3060,FAWKNER,VIC,V1,PRESTON
3061,CAMPBELLFIELD,VIC,V1,MELB NORTH WEST
3062,SOMERTON,VIC,V1,MELB NORTH WEST
3063,OAKLANDS JUNCTION,VIC,V1,MELB NORTH WEST
3063,YUROKE,VIC,V1,MELB NORTH WEST
3064,CRAIGIEBURN,VIC,V1,MELB NORTH WEST
3064,DONNYBROOK,VIC,V1,MELB NORTH WEST
3064,KALKALLO,VIC,V1,MELB NORTH WEST
3064,MICKLEHAM,VIC,V1,MELB NORTH WEST
3064,ROXBURGH PARK,VIC,V1,MELB NORTH WEST
3065,FITZROY,VIC,V1,MELBOURNE CITY
3066,COLLINGWOOD,VIC,V1,MELBOURNE CITY
3066,COLLINGWOOD NORTH,VIC,V1,MELBOURNE CITY
3067,ABBOTSFORD,VIC,V1,MELBOURNE CITY
3068,CLIFTON HILL,VIC,V1,PRESTON
3068,FITZROY NORTH,VIC,V1,PRESTON
3070,NORTHCOTE,VIC,V1,PRESTON
3071,THORNBURY,VIC,V1,PRESTON
3072,GILBERTON,VIC,V1,PRESTON
3072,NORTHLAND CENTRE,VIC,V1,PRESTON
3072,PRESTON,VIC,V1,PRESTON
3072,PRESTON SOUTH,VIC,V1,PRESTON
3072,PRESTON WEST,VIC,V1,PRESTON
3072,REGENT WEST,VIC,V1,PRESTON
3073,RESERVOIR,VIC,V1,PRESTON
3074,THOMASTOWN,VIC,V1,RINGWOOD
3075,LALOR,VIC,V1,RINGWOOD
3076,EPPING,VIC,V1,RINGWOOD
3078,ALPHINGTON,VIC,V1,PRESTON
3078,FAIRFIELD,VIC,V1,PRESTON
3079,IVANHOE,VIC,V1,HAWTHORN
3079,IVANHOE EAST,VIC,V1,HAWTHORN
3079,IVANHOE NORTH,VIC,V1,HAWTHORN
3081,BELLFIELD,VIC,V1,HAWTHORN
3081,HEIDELBERG HEIGHTS,VIC,V1,HAWTHORN
3081,HEIDELBERG WEST,VIC,V1,HAWTHORN
3082,MILL PARK,VIC,V1,RINGWOOD
3083,BUNDOORA,VIC,V1,PRESTON
3083,KINGSBURY,VIC,V1,PRESTON
3083,LA TROBE UNIVERSITY,VIC,V1,PRESTON
